ID,vendor_id,payment_type,fare_amount,tip_amount,tipped,pickup_long,pickup_lat,dropoff_long,dropoff_lat
121,CMT,CRD,55.5,11.2,1,-73.776703,40.645332,-73.98497,40.66293
122,CMT,CRD,52,8,1,-74.005882,40.708038,-73.782692,40.644016
123,CMT,CRD,52,14.45,1,-73.782433,40.644863,-73.966255,40.794579
124,VTS,CSH,65,0,0,-73.990822,40.730003,-73.887611,40.842861
125,CMT,CRD,58,10,1,-73.78344,40.64867,-73.985405,40.674503
126,CMT,CRD,52,11.56,1,-73.790581,40.643967,-73.956711,40.77039
127,CMT,CSH,64.5,0,0,-73.78241,40.644569,-73.983749,40.680492
128,VTS,CSH,55,0,0,-73.983582,40.759792,-73.777084,40.664436
129,CMT,CRD,52,11.56,1,-73.781906,40.644657,-73.97612,40.791256
130,VTS,CSH,69,0,0,-73.973534,40.795414,-74.181686,40.687702
131,CMT,CRD,175,35,1,-73.862633,40.769043,-73.362389,40.832508
132,CMT,CRD,52,11.46,1,-73.782318,40.644672,-73.977966,40.784706
133,VTS,CRD,73.5,14.7,1,-73.950768,40.779343,-74.18338,40.688152
134,CMT,CSH,52,0,0,-73.99498,40.743908,-73.79026,40.646835
135,VTS,CSH,100,0,0,-73.873642,40.773872,-74.251816,40.993649
136,CMT,CSH,31,0,0,-73.981705,40.756416,-73.865616,40.771034
137,VTS,CRD,52,15.6,1,-73.994644,40.766026,-73.789482,40.647167
138,CMT,CRD,62.5,9,1,-73.789734,40.646908,-73.993523,40.677746
139,CMT,CRD,52,11.56,1,-73.788536,40.641449,-74.012985,40.702965
140,CMT,CRD,154.5,30.9,1,-73.800056,40.645721,-74.023407,40.758877
141,CMT,CRD,58.5,14.75,1,-74.00457,40.741985,-74.004265,40.741985
142,CMT,CRD,52,10.5,1,-73.980492,40.762505,-73.776276,40.645454
143,VTS,CRD,52,7,1,-73.790543,40.643974,-74.00351,40.715851
144,VTS,CSH,70.5,0,0,-73.776787,40.645451,-74.091721,40.626389
145,VTS,CRD,60.5,12.1,1,-73.907555,40.885197,-73.785248,40.643154
146,CMT,CSH,71.5,0,0,-73.997719,40.766178,-73.818848,40.887619
147,VTS,CSH,52,0,0,-73.963615,40.774494,-73.782364,40.644173
148,VTS,CSH,52,0,0,-73.781052,40.645061,-73.960625,40.797142
149,VTS,CSH,52,0,0,-73.790863,40.645336,-74.009521,40.70504
150,CMT,CSH,52,0,0,-74.007607,40.704514,-73.787094,40.647503
151,CMT,CSH,65.5,0,0,-73.789009,40.641773,-74.014946,40.648914
152,VTS,CSH,52,0,0,-73.777069,40.646351,-73.941269,40.789272
153,CMT,CRD,52.5,7,1,-73.99073,40.691647,-73.783623,40.64362
154,CMT,CSH,52,0,0,-73.978203,40.762127,-73.78331,40.648891
155,CMT,CRD,52,10,1,-73.776756,40.645344,-74.000816,40.735287
156,CMT,CRD,60,15.25,1,-73.789223,40.641773,-73.97612,40.668491
157,CMT,CRD,52,5,1,-73.9897,40.735416,-73.783028,40.643803
158,CMT,CRD,52,10.5,1,-73.786774,40.641926,-74.011551,40.702316
159,CMT,CSH,52,0,0,-73.783684,40.648651,-73.978554,40.76202
160,CMT,CSH,52,0,0,-73.782867,40.644276,-73.955818,40.784855
161,CMT,CRD,52,14.45,1,-73.951103,40.778687,-73.782639,40.6441
162,CMT,CSH,52,0,0,-73.783409,40.648487,-73.991013,40.717075
163,VTS,CRD,52,10.4,1,-73.986053,40.780437,-73.787537,40.641388
164,CMT,CRD,52,5,1,-73.789658,40.646877,-74.010483,40.722408
165,VTS,CRD,52,10.4,1,-73.789223,40.647217,-73.997765,40.722897
166,VTS,CRD,63,17.21,1,-73.776749,40.645699,-73.918221,40.87672
167,CMT,CSH,52,0,0,-73.790413,40.643543,-73.98185,40.76247
168,CMT,CRD,52,7.2,1,-73.787971,40.642181,-73.974617,40.756474
169,CMT,CSH,52,0,0,-73.784393,40.648624,-73.962875,40.774921
170,VTS,CRD,140,25,1,-73.778473,40.64677,-74.062096,40.871632
171,VTS,CRD,52,13,1,-73.782501,40.644508,-73.953049,40.770782
172,VTS,CRD,56,65,1,-73.991425,40.729786,-73.957169,40.613037
173,VTS,CRD,52,0,0,-74.010017,40.713074,-73.776428,40.645065
174,VTS,CRD,52,13,1,-73.776802,40.645084,-73.98719,40.766846
175,CMT,CSH,62,0,0,-73.785912,40.639503,-73.905632,40.880005
176,CMT,CRD,52,14.32,1,-74.013123,40.704819,-73.77626,40.645519
177,CMT,CRD,52,8.88,1,-73.788719,40.642097,-74.005058,40.730949
178,CMT,CSH,52,0,0,-73.969627,40.768719,-73.782951,40.648857
179,VTS,CRD,52,15.6,1,-74.015755,40.711472,-73.784973,40.645653
180,CMT,CRD,52,11.56,1,-73.776756,40.645264,-73.980232,40.777981
181,CMT,CRD,69.5,14.1,1,-73.78936,40.641773,-73.986153,40.692753
182,VTS,CRD,52,11.47,1,-73.973007,40.756561,-73.788834,40.641701
183,CMT,CSH,52,0,0,-73.789818,40.645935,-74.016434,40.706966
184,VTS,CRD,66,13.4,1,-73.783325,40.648621,-73.980804,40.678902
185,VTS,CSH,52,0,0,-73.964455,40.75634,-73.784554,40.643299
186,VTS,CRD,52,5,1,-73.789726,40.643627,-73.911293,40.729828
187,CMT,CSH,52,0,0,-73.789139,40.642475,-74.004532,40.722137
188,VTS,CRD,52,17.2,1,-73.97583,40.781338,-73.783035,40.643906
189,VTS,CSH,52,0,0,-73.782112,40.644642,-74.014923,40.70919
190,CMT,CSH,52,0,0,-73.785149,40.648518,-73.962013,40.770741
191,VTS,CSH,52,0,0,-74.010139,40.703178,-73.782631,40.648788
192,VTS,CSH,51,0,0,-73.786171,40.641434,-73.975258,40.636845
193,CMT,CRD,52,8,1,-73.784622,40.648609,-73.979507,40.781311
194,VTS,CRD,52,10.4,1,-73.781929,40.644867,-73.985313,40.719143
195,VTS,CRD,52,10.4,1,-73.963104,40.770905,-73.776443,40.645329
196,VTS,CSH,52,0,0,-73.791496,40.655056,-73.789696,40.646996
197,VTS,CSH,75,0,0,-73.778709,40.646675,-73.939537,40.668098
198,CMT,CRD,52,13.1,1,-74.017372,40.705818,-73.785988,40.639008
199,VTS,CSH,62.5,0,0,-73.789528,40.64695,-73.915894,40.887966
200,CMT,CRD,52,0,0,-73.964691,40.796757,-73.783928,40.643597
201,VTS,CRD,83.5,0,0,-73.781944,40.644653,-73.988495,40.688286
202,CMT,CSH,52,0,0,-73.782486,40.644474,-74.003342,40.724052
203,CMT,CSH,52,0,0,-74.008919,40.706722,-73.790855,40.646584
204,VTS,CRD,54,11,1,-74.001678,40.730736,-73.844444,40.869591
205,VTS,CRD,52,10.4,1,-73.979019,40.761566,-73.789757,40.647038
206,VTS,CRD,52,10,1,-73.790031,40.643456,-73.974617,40.765091
207,CMT,CRD,92,29.49,1,-73.979958,40.762466,-73.608551,40.74184
208,CMT,CRD,52,13.12,1,-73.78231,40.644695,-74.006104,40.723473
209,CMT,CRD,65.5,5,1,-73.776779,40.645321,-73.91954,40.880394
210,CMT,CRD,52,11.55,1,-73.778343,40.646797,-73.9375,40.85627
211,CMT,CRD,52,15,1,-73.787453,40.644974,-73.955933,40.767109
212,VTS,CRD,52,7,1,-73.783264,40.646702,-74.013817,40.71434
213,CMT,CRD,52,10,1,-73.789566,40.643585,-73.959373,40.769348
214,CMT,DIS,84,0,0,-73.782402,40.644489,-73.980515,40.688278
215,CMT,CSH,91.5,0,0,-73.963417,40.755894,-74.178154,40.695625
216,VTS,CRD,58,11.7,1,-73.976669,40.754108,-74.16713,40.602837
217,VTS,CSH,52,0,0,-73.781113,40.645061,-73.981331,40.782688
218,VTS,CSH,140,0,0,-73.993935,40.729424,-74.179787,40.688511
219,VTS,CRD,52,6,1,-73.78273,40.644501,-73.956009,40.771915
220,CMT,CRD,52,11.56,1,-73.95591,40.77602,-73.788696,40.647442
221,CMT,CRD,52,5.55,1,-73.782501,40.644527,-74.004662,40.747967
222,CMT,NOC,59,0,0,-73.864365,40.77055,-73.923943,40.614445
223,VTS,CSH,52,0,0,-73.781967,40.644676,-73.969177,40.769989
224,VTS,CRD,52,8,1,-74.007118,40.707378,-73.789993,40.646938
225,VTS,CRD,52,7,1,-73.97847,40.782982,-73.782509,40.648746
226,VTS,CRD,52,13,1,-73.782547,40.646824,-73.960571,40.768871
227,VTS,CSH,52,0,0,-73.781754,40.645,-73.959892,40.798458
228,VTS,CRD,52,10.4,1,-73.788055,40.64151,-74.011902,40.705387
229,VTS,CRD,52,10.4,1,-74.009468,40.710915,-73.803261,40.648193
230,CMT,CRD,52,11.55,1,-73.777931,40.646812,-73.949699,40.784473
231,VTS,CRD,52,14.33,1,-73.782532,40.644642,-73.961319,40.80196
232,CMT,CSH,68.5,0,0,-73.866264,40.77079,-73.953758,40.576092
233,VTS,CRD,52,11.47,1,-73.776749,40.645515,-73.970352,40.799297
234,CMT,CSH,73.5,0,0,-73.782631,40.64452,-74.112617,40.642403
235,VTS,CSH,52,0,0,-73.776749,40.645435,-73.97084,40.788467
236,CMT,CRD,64.5,0,0,-73.782547,40.644718,-73.921692,40.841404
237,VTS,CRD,52,10.4,1,-73.782471,40.644524,-74.000687,40.73328
238,VTS,CRD,130,20,1,-73.983604,40.716797,-73.649132,41.015957
239,VTS,CSH,70,0,0,-73.97821,40.762691,-73.910675,40.612358
240,CMT,CSH,77,0,0,-73.782166,40.644569,-73.987427,40.696114
241,CMT,CSH,111.5,0,0,-73.99102,40.755375,-73.873001,40.681252
242,CMT,CRD,52,17.15,1,-73.776772,40.645416,-74.009087,40.720116
243,CMT,CSH,52,0,0,-73.784256,40.648598,-73.985176,40.76049
244,CMT,CSH,52,0,0,-73.776741,40.645432,-73.947571,40.770432
245,VTS,CRD,80,22.56,1,-74.001991,40.735111,-74.078003,40.805435
246,CMT,CRD,52,0.01,1,-73.782471,40.644783,-73.980659,40.781551
247,VTS,CRD,52,13,1,-73.783684,40.648666,-73.95388,40.766048
248,CMT,CSH,52,0,0,-73.789818,40.643738,-73.978226,40.763885
249,CMT,CRD,52,14.45,1,-73.776825,40.645435,-73.990273,40.719894
250,CMT,CRD,73,25.84,1,-73.96814,40.797241,-74.17672,40.694164
251,VTS,CSH,52,0,0,-73.780891,40.645134,-73.953064,40.779251
252,VTS,CRD,52,5,1,-73.962784,40.773941,-73.798805,40.644993
253,CMT,CRD,52,14.45,1,-73.951637,40.769497,-73.78331,40.643753
254,CMT,CSH,52,0,0,-73.790016,40.646793,-74.013222,40.709877
255,VTS,CSH,61.5,0,0,-73.783943,40.648609,-73.901474,40.874554
256,VTS,CRD,52,10.4,1,-73.777069,40.646317,-73.965881,40.756752
257,CMT,CRD,52,6,1,-73.783356,40.644119,-73.99987,40.744102
258,VTS,CSH,52,0,0,-73.953842,40.769485,-73.783775,40.643616
259,CMT,CRD,52,13.12,1,-73.998528,40.740322,-73.789772,40.646915
260,VTS,CRD,52,11.47,1,-73.781662,40.644909,-73.98893,40.748123
261,CMT,CSH,3.5,0,0,-73.960297,40.76178,-73.955963,40.767704
262,VTS,CRD,52,8,1,-73.776741,40.645458,-74.014938,40.709423
263,VTS,CRD,52,10.4,1,-73.788383,40.641788,-73.982323,40.771305
264,CMT,CRD,52,5.78,1,-73.780342,40.645466,-74.005814,40.709042
265,VTS,CSH,55.5,0,0,-73.870819,40.773605,-73.97403,40.575016
266,CMT,CRD,52,7,1,-73.789848,40.643703,-73.970078,40.753136
267,CMT,CSH,2.5,0,0,-73.950974,40.741631,-73.794334,40.656971
268,VTS,CRD,52,13,1,-73.993965,40.751492,-73.789787,40.647038
269,VTS,CRD,52,10.4,1,-74.009834,40.70776,-73.789963,40.646881
270,VTS,CSH,67,0,0,-73.782097,40.644764,-74.027184,40.6147
271,VTS,CSH,52,0,0,-73.790573,40.643993,-73.990807,40.750645
272,CMT,CSH,52,0,0,-73.778221,40.64679,-73.955727,40.764591
273,CMT,CSH,62,0,0,-73.981293,40.784477,-73.977386,40.575516
274,CMT,CRD,52,13.12,1,-74.015038,40.70937,-73.789032,40.641647
275,CMT,CRD,82,75,1,-74.004784,40.707848,-74.06871,41.048904
276,CMT,CRD,52,11.46,1,-73.786705,40.641586,-74.007027,40.734627
277,CMT,CSH,52,0,0,-73.788681,40.641842,-74.012917,40.70406
278,CMT,CSH,64.5,0,0,-73.97113,40.763103,-73.934975,40.587837
279,VTS,CRD,52,0,0,-74.009842,40.711945,-73.807312,40.654202
280,CMT,CRD,55,14.1,1,-73.77684,40.645218,-73.99588,40.695328
281,VTS,CSH,52,0,0,-73.790771,40.644257,-74.009499,40.704567
282,CMT,CRD,66,5,1,-73.789383,40.647034,-73.98896,40.688923
283,VTS,CRD,52,5,1,-73.995468,40.733356,-73.778091,40.644943
284,CMT,CSH,52,0,0,-73.77684,40.645966,-73.968521,40.759766
285,VTS,CSH,52,0,0,-73.781487,40.644894,-73.965652,40.808971
286,VTS,CRD,52,10.4,1,-73.781799,40.644753,-74.007004,40.729328
287,CMT,CRD,23.5,6,1,-74.009178,40.715065,-73.994133,40.75034
288,CMT,CRD,52,7,1,-73.788895,40.641949,-73.964966,40.792793
289,VTS,CRD,52,10.4,1,-73.786095,40.647251,-74.006973,40.707718
290,VTS,CSH,73.5,0,0,-73.790276,40.643623,-74.078369,40.639889
291,CMT,CRD,76.5,17.6,1,-73.984406,40.759747,-74.177208,40.695145
292,VTS,CRD,52,11.47,1,-73.776749,40.645473,-74.000603,40.741516
293,VTS,CRD,52,7,1,-73.96299,40.775131,-73.783348,40.643787
294,CMT,CSH,52,0,0,-73.786919,40.641552,-73.916969,40.872395
295,VTS,CRD,52,11.47,1,-73.791199,40.645649,-73.987564,40.724541
296,VTS,CRD,52,10.21,1,-73.790276,40.644302,-73.917786,40.870815
297,VTS,CRD,80.5,18.15,1,-73.973747,40.760544,-74.18325,40.688103
298,CMT,CSH,67,0,0,-73.788757,40.641792,-73.91143,40.884361
299,CMT,CRD,52,6,1,-73.989868,40.757599,-73.782166,40.644279
300,VTS,CSH,52,0,0,-73.781647,40.644852,-73.973251,40.786015
301,VTS,CSH,89.5,0,0,-73.871506,40.774002,-73.981995,40.613174
302,VTS,CSH,52,0,0,-74.010788,40.711853,-73.783623,40.643944
303,CMT,CSH,52,0,0,-73.776772,40.64539,-73.968796,40.761402
304,VTS,CRD,52,6,1,-73.790497,40.643993,-73.961227,40.774628
305,VTS,CSH,61,0,0,40.750671,-74.005875,40.535538,-74.1642
306,CMT,CRD,71.5,8.85,1,-74.008057,40.741116,-74.177643,40.690567
307,VTS,CSH,52,0,0,-73.995972,40.715839,-73.795662,40.650059
308,VTS,CRD,52,10.4,1,-73.777863,40.646801,-73.968582,40.798912
309,VTS,CRD,52,10.5,1,-73.776802,40.645119,-73.995361,40.728771
310,CMT,CRD,52,7.5,1,-73.789009,40.642204,-74.017746,40.708084
311,CMT,CRD,52,14.5,1,-73.961769,40.770126,-73.79023,40.646812
312,VTS,CRD,52,11.47,1,-73.977463,40.753246,-73.781487,40.648056
313,VTS,CRD,57,0.1,1,-73.782356,40.644596,-73.986046,40.677513
314,VTS,CRD,52,10.4,1,-73.944458,40.834759,-73.776749,40.645737
315,VTS,CRD,63,10,1,-73.994789,40.744606,-73.901176,40.590336
316,CMT,CRD,52,10,1,-73.789276,40.641953,-73.987915,40.77758
317,CMT,CRD,52,17.34,1,-73.973167,40.791126,-73.789154,40.641926
318,VTS,CRD,52,10.4,1,-73.994713,40.718632,-73.776466,40.645088
319,VTS,CRD,52,11.47,1,-73.966309,40.794579,-73.788841,40.641613
320,CMT,CRD,52,3.17,1,-73.954269,40.778606,-73.776421,40.645191
321,VTS,CRD,85,10,1,-73.977325,40.753841,-74.22023,40.679298
322,CMT,CRD,52,11.56,1,-73.781319,40.644855,-73.948723,40.786373
323,CMT,CRD,52,6,1,-74.015266,40.709232,-73.790039,40.643944
324,CMT,CSH,70,0,0,-73.790298,40.643799,-73.89798,40.90881
325,VTS,CRD,52,10.4,1,-74.016808,40.708061,-73.783157,40.648941
326,CMT,CRD,52,3,1,-73.78627,40.641891,-73.921371,40.833546
327,VTS,CRD,52,5,1,-73.790375,40.643913,-73.967316,40.79285
328,CMT,CRD,120.5,20,1,-73.867569,40.77021,-74.182983,40.690651
329,VTS,CRD,65,13,1,-73.781929,40.644615,-73.960121,40.652687
330,CMT,CRD,52,11.56,1,-73.781784,40.644672,-74.010216,40.72554
331,CMT,CRD,52,11.56,1,-73.776657,40.64537,-73.974548,40.778313
332,CMT,CRD,52,13.12,1,-73.77668,40.645317,-73.997482,40.745571
333,CMT,CSH,52,0,0,-73.782402,40.644733,-73.956581,40.781033
334,VTS,CRD,52,14.46,1,-73.984619,40.754707,-73.801186,40.670696
335,CMT,CSH,52,0,0,-73.781784,40.644894,-73.994827,40.72887
336,VTS,CRD,52,13,1,-73.967728,40.751606,-73.776421,40.645367
337,CMT,CRD,77.5,21.93,1,-73.969002,40.785854,-74.17794,40.695583
338,VTS,CSH,52,0,0,-73.964211,40.770367,-73.783104,40.643944
339,CMT,CRD,52,10,1,-73.975876,40.788483,-73.783165,40.643902
340,CMT,CSH,58.5,0,0,-73.781921,40.644753,-74.000565,40.658405
341,VTS,CSH,52,0,0,-73.956879,40.766602,-73.782722,40.648777
342,VTS,CRD,52,11.46,1,-73.789665,40.646122,-73.95594,40.774899
343,CMT,CRD,52,10,1,-73.788155,40.641449,-73.955948,40.767513
344,CMT,CRD,85,23.31,1,-74.006683,40.744305,-74.216362,40.819599
345,VTS,CRD,52,10.4,1,-74.014694,40.711403,-73.807213,40.65403
346,CMT,CSH,68.5,0,0,-73.872971,40.774044,-74.163254,40.607731
347,CMT,CRD,52,12,1,-73.982117,40.76186,-73.782845,40.644001
348,VTS,CRD,53.5,10.8,1,-73.791519,40.64566,-73.863441,40.87138
349,VTS,CRD,52,13,1,-73.781639,40.644806,-73.971214,40.783588
350,VTS,CSH,52,0,0,-73.783035,40.644203,-73.983299,40.768227
351,VTS,CRD,71.5,14.3,1,-73.979622,40.751896,-74.176811,40.694401
352,CMT,CSH,52,0,0,-73.800705,40.646084,-74.015968,40.714977
353,VTS,CRD,52,10.4,1,-73.972488,40.793434,-73.786537,40.641186
